0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.294194 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.310114 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.325946 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.341688 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.357335 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.372882 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.388324 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.403659 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.418881 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.433986 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.448970 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.463829 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.478559 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.493155 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.507614 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.521931 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.536102 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.550124 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.563993 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.577704 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.591254 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.604639 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.617856 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.630900 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.643769 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.656458 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.668963 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.681283 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.693412 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.705348 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.717087 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.728626 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.739962 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.751091 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.762011 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.772719 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.783211 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | -0.793484 1.000000 0.000000 | 
